date,festival,region,impact
2026-01-01,New Year,All India,Medium
2026-01-26,Republic Day,All India,High
2026-03-04,Holi,North India,High
2026-03-19,Eid-ul-Fitr,All India,High
2026-04-14,Baisakhi,Punjab,Medium
2026-08-15,Independence Day,All India,High
2026-08-26,Janmashtami,North India,Medium
2026-09-15,Ganesh Chaturthi,Maharashtra,High
2026-10-20,Dussehra,North India,High
2026-11-08,Diwali,All India,High
2026-11-24,Guru Nanak Jayanti,Punjab,high
2026-12-25,Christmas,All India,Medium
2026-01-14,Makar Sankranti,North India,Medium
2026-01-15,Pongal,Tamil Nadu,High
2026-04-14,Bihu,Assam,high
2026-09-05,Onam,Kerala,High
2026-10-16,Durga Puja,West Bengal,Very High
2026-11-13,Chhath Puja,Bihar,High
